Filename,DataType,Size,Algorithm,TimeSeconds,Comparisons,MemoryBytes
a100.txt,Random,100,QuickSort,0.000007,605,0
a100.txt,Random,100,MergeSort,0.000016,537,2688
a100.txt,Random,100,HeapSort,0.000010,1029,0
a1000.txt,Random,1000,QuickSort,0.000081,10703,0
a1000.txt,Random,1000,MergeSort,0.000113,8704,39904
a1000.txt,Random,1000,HeapSort,0.000127,16869,0
a10000.txt,Random,10000,QuickSort,0.001057,157488,0
a10000.txt,Random,10000,MergeSort,0.001377,120517,534464
a10000.txt,Random,10000,HeapSort,0.001589,235408,0
a100000.txt,Random,100000,QuickSort,0.012399,2590245,0
a100000.txt,Random,100000,MergeSort,0.015435,1536637,6675712
a100000.txt,Random,100000,HeapSort,0.020622,3019775,0
a1000000.txt,Random,1000000,QuickSort,0.301767,117813690,0
a1000000.txt,Random,1000000,MergeSort,0.173214,18673359,79805696
a1000000.txt,Random,1000000,HeapSort,0.266472,36790297,0
a1250000.txt,Random,1250000,QuickSort,0.430159,176638182,0
a1250000.txt,Random,1250000,MergeSort,0.211598,23761046,101611392
a1250000.txt,Random,1250000,HeapSort,0.328641,46825882,0
a15000.txt,Random,15000,QuickSort,0.005221,238475,0
a15000.txt,Random,15000,MergeSort,0.006774,189287,834464
a15000.txt,Random,15000,HeapSort,0.006108,370381,0
a1500000.txt,Random,1500000,QuickSort,0.615685,251399528,0
a1500000.txt,Random,1500000,MergeSort,0.254394,28910017,123611392
a1500000.txt,Random,1500000,HeapSort,0.403221,57011806,0
a200.txt,Random,200,QuickSort,0.000015,1438,0
a200.txt,Random,200,MergeSort,0.000021,1283,6176
a200.txt,Random,200,HeapSort,0.000021,2436,0
a2000.txt,Random,2000,QuickSort,0.000179,27018,0
a2000.txt,Random,2000,MergeSort,0.000243,19389,87808
a2000.txt,Random,2000,HeapSort,0.000292,37667,0
a200000.txt,Random,200000,QuickSort,0.030804,7814224,0
a200000.txt,Random,200000,MergeSort,0.031174,3272647,14151424
a200000.txt,Random,200000,HeapSort,0.044115,6437906,0
a2000000.txt,Random,2000000,QuickSort,1.140963,433012087,0
a2000000.txt,Random,2000000,MergeSort,0.382695,39347196,167611392
a2000000.txt,Random,2000000,HeapSort,0.573223,77580974,0
a30000.txt,Random,30000,QuickSort,0.003372,557316,0
a30000.txt,Random,30000,MergeSort,0.004335,408671,1788928
a30000.txt,Random,30000,HeapSort,0.005587,800988,0
a500.txt,Random,500,QuickSort,0.000038,4725,0
a500.txt,Random,500,MergeSort,0.000067,3842,17952
a500.txt,Random,500,HeapSort,0.000055,7405,0
a5000.txt,Random,5000,QuickSort,0.000496,70683,0
a5000.txt,Random,5000,MergeSort,0.000641,55252,247232
